title,source,status,macro_areas,relevance_score,relevance_label,positive_signals,negative_signals,official_url
"Avviso per la concessione di contributo per la gestione del numero pubblico “Emergenza infanzia 114""",Dipartimento per le politiche della famiglia,UNKNOWN,"Minori e adolescenti | Famiglia e genitorialità | Comunità, welfare e sviluppo territoriale",6.0,Alta,psicolog,,https://www.famiglia.governo.it/it/politiche-e-attivita/finanziamenti-avvisi-e-bandi/avvisi-e-bandi/avviso-per-la-concessione-di-contributo-per-la-gestione-del-numero-pubblico-emergenza-infanzia-114/
Avviso pubblico per il finanziamento di progetti di assistenza psicologica e psicosociologica a favore dei genitori in conseguenza della morte del figlio,Dipartimento per le politiche della famiglia,UNKNOWN,Famiglia e genitorialità,6.0,Alta,psicolog,,https://www.famiglia.governo.it/it/politiche-e-attivita/finanziamenti-avvisi-e-bandi/avvisi-e-bandi/avviso-pubblico-per-il-finanziamento-di-progetti-di-assistenza-psicologica-e-psicosociologica-a-favore-dei-genitori-in-conseguenza-della-morte-del-figlio/
Call for proposals for civil society organisations active on protecting and promoting Union values: call to intermediaries (giving financial support to third parties),eu-funding-tenders,OPEN,"Salute mentale e benessere | Digitale, innovazione e AI | Ricerca e innovazione scientifica",6.0,Alta,psychological support,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/46357639
The impact of the use of digital tools outside school and for communication on educational outcomes and mental health,eu-funding-tenders,OPEN,"Salute mentale e benessere | Scuola, università e formazione | Digitale, innovazione e AI",6.0,Alta,mental health,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2026-01-TRANSFO-04
“Legami di libertà”: 10 milioni di euro per prevenire e contrastare le dipendenze tra gli adolescenti,Fondazione Cariparo,OPEN,"Minori e adolescenti | Dipendenze | Lavoro, organizzazioni e occupazione | Comunità, welfare e sviluppo territoriale | Salute pubblica e prevenzione | Ricerca e innovazione scientifica",9.0,Alta,dipendenz | adolescent | prevenzione,,https://fondazionecariparo.it/2026/04/16/legami-di-liberta-10-milioni-di-euro-per-prevenire-e-contrastare-le-dipendenze-tra-gli-adolescenti/
Sostegno all'associazionismo sportivo e allo sport agonistico trentino,incentivi-gov,OPEN,"Minori e adolescenti | Scuola, università e formazione | Inclusione sociale e vulnerabilità | Disabilità e neurodiversità | Ricerca e innovazione scientifica",6.0,Alta,disabil | inclusione sociale | giovani | formazione,,https://www.provincia.tn.it/Amministrazione/Documenti/Legge-Provinciale-21-aprile-2016-n.-4
"Ventotene Europa Festival, 9-12 maggio 2024",aig-opportunities,UNKNOWN,"Salute mentale e benessere | Scuola, università e formazione | Inclusione sociale e vulnerabilità | Diritti, pari opportunità e contrasto alle discriminazioni",3.0,Media,inclusione sociale | formazione,,https://agenziagioventu.gov.it/ventotene-europa-festival-9-12-maggio-2024/
Online la Consultazione sulla futura politica di Bilancio dell’UE,aig-opportunities,UNKNOWN,"Minori e adolescenti | Scuola, università e formazione",2.0,Media,giovani | formazione,,https://agenziagioventu.gov.it/online-la-consultazione-sulla-futura-politica-di-bilancio-dellue/
Corso di formazione sulle politiche europee per la gioventù di AIG ed Eurodesk Italy,aig-opportunities,UNKNOWN,"Minori e adolescenti | Scuola, università e formazione | Lavoro, organizzazioni e occupazione | Digitale, innovazione e AI",2.0,Media,giovani | formazione,,https://agenziagioventu.gov.it/al-via-dal-primo-ottobre-il-corso-di-formazione-sulle-politiche-europee-per-la-gioventu-di-aig-ed-eurodesk-italy/
"Palestre di Progettazione 2026 – Informazione e orientamento, Erasmus+| Gioventù | Sport e Corpo Europeo di Solidarietà",aig-opportunities,UNKNOWN,"Minori e adolescenti | Scuola, università e formazione",2.0,Media,giovani | formazione,,https://agenziagioventu.gov.it/palestre-di-progettazione-2026/
Al via l’Avviso Pubblico “POLIS”per la nascita e il rafforzamento delle Comunità Giovanili territoriali,aig-opportunities,UNKNOWN,"Minori e adolescenti | Inclusione sociale e vulnerabilità | Comunità, welfare e sviluppo territoriale",3.0,Media,inclusione sociale | giovani,,https://agenziagioventu.gov.it/al-via-lavviso-pubblico-polisper-la-nascita-e-il-rafforzamento-delle-comunita-giovanili-territoriali/
"Le Isole, i Giovani e il Futuro| Lampedusa 24 – 26 settembre 2026 | Call for participants",aig-opportunities,UNKNOWN,"Minori e adolescenti | Inclusione sociale e vulnerabilità | Migrazione, integrazione e intercultura | Diritti, pari opportunità e contrasto alle discriminazioni",3.0,Media,inclusione sociale | giovani,,https://agenziagioventu.gov.it/le-isole-i-giovani-e-il-futuro-lampedusa-24-26-settembre-2026-call-for-participants/
Presentazione della consultazione online sulle competenze dello youth worker,aig-opportunities,OPEN,"Minori e adolescenti | Scuola, università e formazione | Ricerca e innovazione scientifica",2.0,Media,giovani | formazione,,https://agenziagioventu.gov.it/presentazione-della-consultazione-online-sulle-competenze-dello-youth-worker/
Iniziative in cofinanziamento: quinta edizione,Con i Bambini,OPEN,"Minori e adolescenti | Inclusione sociale e vulnerabilità | Lavoro, organizzazioni e occupazione | Comunità, welfare e sviluppo territoriale",3.0,Media,adolescent,,https://www.conibambini.org/bandi-e-iniziative/iniziative-in-cofinanziamento-quinta-edizione/
"Avviso ""Vita e Opportunità"": Pubblicato il decreto di nomina della Commissione di valutazione dei progetti",Dipartimento per le politiche in favore delle persone con disabilità,UNKNOWN,Famiglia e genitorialità | Inclusione sociale e vulnerabilità | Disabilità e neurodiversità,2.0,Media,disabil,,https://www.disabilita.governo.it/it/avvisi-e-bandi/avviso-vita-e-opportunita-pubblicato-il-decreto-di-nomina-della-commissione-di-valutazione-dei-progetti/
"Avviso ""Vita & Opportunità""",Dipartimento per le politiche in favore delle persone con disabilità,OPEN,Inclusione sociale e vulnerabilità | Disabilità e neurodiversità,2.0,Media,disabil,,https://www.disabilita.governo.it/it/avvisi-e-bandi/avviso-vita-opportunita/
Expo Aid: Pubblicato decreto commissione valutazione delle manifestazioni di interesse,Dipartimento per le politiche in favore delle persone con disabilità,UNKNOWN,Inclusione sociale e vulnerabilità | Disabilità e neurodiversità,2.0,Media,disabil,,https://www.disabilita.governo.it/it/avvisi-e-bandi/expo-aid-pubblicato-decreto-commissione-valutazione-delle-manifestazioni-di-interesse/
Expo AID: pubblicato decreto di approvazione dei contratti di sponsorizzazione,Dipartimento per le politiche in favore delle persone con disabilità,UNKNOWN,Famiglia e genitorialità | Inclusione sociale e vulnerabilità | Disabilità e neurodiversità,2.0,Media,disabil,,https://www.disabilita.governo.it/it/avvisi-e-bandi/expo-aid-pubblicato-decreto-di-approvazione-dei-contratti-di-sponsorizzazione/
"Informativa Avviso ""Vita & Opportunità""",Dipartimento per le politiche in favore delle persone con disabilità,UNKNOWN,"Scuola, università e formazione | Inclusione sociale e vulnerabilità | Disabilità e neurodiversità | Comunità, welfare e sviluppo territoriale",3.0,Media,disabil | formazione,,https://www.disabilita.governo.it/it/avvisi-e-bandi/informativa-avviso-vita-opportunita/
Pubblicato Accordo di collaborazione tra il Dipartimento e La Rosa Blu – Consorzio degli enti aderenti alla rete associativa di Anffas Nazionale,Dipartimento per le politiche in favore delle persone con disabilità,UNKNOWN,"Scuola, università e formazione | Inclusione sociale e vulnerabilità | Disabilità e neurodiversità",3.0,Media,disabil | formazione,,https://www.disabilita.governo.it/it/avvisi-e-bandi/pubblicato-accordo-di-collaborazione-tra-il-dipartimento-e-la-rosa-blu-consorzio-degli-enti-aderenti-alla-rete-associativa-di-anffas-nazionale/
Pubblicato decreto di riconoscimento e conferma delle associazioni e degli enti legittimati ad agire in giudizio,Dipartimento per le politiche in favore delle persone con disabilità,UNKNOWN,"Inclusione sociale e vulnerabilità | Disabilità e neurodiversità | Diritti, pari opportunità e contrasto alle discriminazioni",2.0,Media,disabil,,https://www.disabilita.governo.it/it/avvisi-e-bandi/pubblicato-decreto-di-riconoscimento-e-conferma-delle-associazioni-e-degli-enti-legittimati-ad-agire-in-giudizio/
